76.64,51.23,43.18,29.66,76.24
75.88,51.74,42.73,31.54,75.63
76.18,53.50,41.28,31.36,75.84
77.30,55.75,39.46,28.81,76.89
76.59,57.14,38.28,29.48,76.02
76.55,56.81,39.79,21.41,75.91
74.78,55.45,39.08,25.47,74.15
74.58,54.74,38.09,26.11,73.98
76.50,57.83,38.59,22.67,75.80
75.72,56.70,36.92,25.68,75.15
74.72,50.89,38.80,26.32,74.68
74.86,54.52,37.26,35.46,74.40
74.11,51.74,36.89,30.45,74.02
75.82,54.72,36.91,34.04,75.18
74.45,53.67,38.32,32.54,74.06
75.80,51.95,37.95,32.86,75.41
75.93,48.43,37.05,29.61,75.65
74.68,49.62,35.37,34.46,74.37
75.31,49.54,36.94,31.89,75.02
73.55,45.73,34.95,29.92,73.66
72.59,43.65,35.82,30.85,72.45
73.90,46.73,33.81,29.86,73.68
73.72,50.95,33.43,28.76,73.33
74.91,56.10,33.92,29.84,74.26
74.55,53.72,34.56,31.48,74.17
72.95,51.58,33.84,32.45,72.44
73.07,52.14,32.50,31.61,72.60
73.63,50.07,32.03,30.17,73.22
73.24,48.07,32.00,29.32,72.98
72.15,42.84,32.20,30.04,71.99
73.62,44.79,32.13,27.56,73.35
72.42,42.90,33.18,33.01,72.34
71.77,45.10,32.47,29.86,71.42
70.85,42.00,30.70,28.63,70.71
72.79,42.23,29.44,35.48,72.73
71.69,44.46,30.35,30.98,71.51
71.49,44.99,28.72,32.26,71.31
72.33,47.84,29.49,33.82,71.98
71.64,43.73,31.04,34.12,71.41
71.10,45.26,30.98,32.75,70.77
71.91,43.66,29.70,27.61,71.68
71.36,42.98,29.99,32.59,71.42
71.27,43.20,33.40,31.99,71.26
70.59,46.04,28.45,29.80,70.29
70.76,51.32,28.94,31.17,70.22
70.86,46.39,27.44,32.24,70.59
71.45,49.40,27.03,31.73,71.18
70.97,45.40,27.70,28.79,70.86
71.95,52.34,27.44,33.91,71.63
70.75,52.09,27.29,30.68,70.39
68.70,44.31,27.97,30.70,68.64
69.32,43.33,28.17,28.06,69.11
68.91,38.37,31.58,30.29,68.70
70.05,40.97,36.84,32.26,70.00
68.29,38.97,35.39,28.98,67.98
68.36,40.31,31.58,30.93,68.22
68.37,43.78,32.94,33.68,68.12
67.74,41.79,35.64,36.96,67.59
69.00,47.84,35.36,36.56,68.69
69.76,48.38,27.90,31.62,69.28
68.43,43.89,31.46,31.79,68.09
69.07,45.53,29.21,28.63,68.76
69.29,42.20,28.24,25.34,68.94
69.13,44.47,32.45,30.37,68.83
68.03,42.30,35.01,30.19,67.74
67.25,43.72,36.80,25.82,66.88
66.41,42.88,36.41,28.84,66.15
66.36,43.00,36.72,34.41,66.04
67.00,42.84,40.46,35.98,66.84
66.10,42.90,38.36,40.53,65.91
66.84,43.31,38.47,32.45,66.45
65.96,43.37,30.53,29.52,65.62
68.14,45.29,31.56,31.69,67.88
65.51,45.00,30.79,29.07,65.56
66.90,46.15,31.26,30.81,66.56
66.60,46.56,34.49,32.17,65.94
65.43,49.68,32.94,30.39,64.78
64.93,44.06,30.70,29.43,64.67
63.23,44.00,32.19,29.75,62.84
63.42,44.25,34.71,32.84,63.06
65.49,44.36,34.12,28.87,64.94
65.50,47.37,32.96,27.41,64.67
64.03,45.76,29.13,30.70,63.51
63.77,43.52,30.71,34.14,63.34
65.05,43.54,32.19,36.14,64.60
64.41,40.25,32.00,37.30,64.15
64.29,45.22,33.87,36.13,64.15
63.90,43.15,34.49,33.37,63.57
64.14,41.12,33.47,30.04,63.87
63.11,37.97,34.01,30.41,63.07
63.88,33.49,31.43,23.54,63.77
64.18,37.15,33.22,27.32,63.86
63.40,39.88,31.26,26.13,63.03
62.30,35.45,29.66,30.01,62.22
63.24,39.87,31.69,29.88,62.72
63.57,39.41,31.41,26.47,63.18
62.21,38.35,30.25,27.65,61.91
62.65,35.86,30.23,28.04,62.25
59.86,32.68,30.83,28.34,59.45
59.48,26.86,30.62,27.61,59.24
61.15,24.51,31.50,25.37,60.91
61.54,24.68,33.86,27.17,61.29
59.35,30.59,32.53,27.74,59.11
60.98,32.32,34.71,30.18,60.83
61.22,28.41,33.63,27.98,61.08
60.27,25.56,36.21,27.32,59.80
59.94,19.72,30.40,30.18,59.70
